title,type,genre_ids,overview,release_date,popularity,vote_average,poster_path
Criminal Minds,series,"[80, 18, 9648]","An elite team of FBI profilers analyze the country's most twisted criminal minds, anticipating their next moves before they strike again. The Behavioral Analysis Unit's most experienced agent is David Rossi, a founding member of the BAU who returns to help the team solve new cases.",2005-09-22,191.1058,8.298,/hWSb4UnIjlTvnvrP98NbFSO60HA.jpg
American Dad!,series,"[16, 35]","The series focuses on an eccentric motley crew that is the Smith family and their three housemates: Father, husband, and breadwinner Stan Smith; his better half housewife, Francine Smith; their college-aged daughter, Hayley Smith; and their high-school-aged son, Steve Smith. Outside of the Smith family, there are three additional main characters, including Hayley's boyfriend turned husband, Jeff Fischer; the family's man-in-a-goldfish-body pet, Klaus; and most notably the family's zany alien, Roger, who is ""full of masquerades, brazenness, and shocking antics.""",2005-02-06,202.8146,7.023,/eb9sH2am9IUSQ8GhXTNAVoujk8W.jpg
Jason and the Argonauts,series,"[10751, 10759, 10765]","At a young age, Jason witnesses the brutal deposement and murder of his father at the hands of his uncle Pelias. Twenty years later, Jason returns home to claim his rightful place as king, but Pelias orders him to be executed, and in order to save himself Jason is forced to go on a dangerous quest to find the legendary Golden Fleece. So Jason gathers a motley crew of men and sets sail on the Argos.",2000-05-07,192.8109,6.494,/pYXkdXyqnmKFf01Yi6MkbfMczhv.jpg
Kamen Rider,series,"[10759, 10765, 18]","Takeshi Hongo is a promising young man with a passion for motorcycle racing. However, his dreams are suddenly ruined when he gets kidnapped by Shocker, the evil secret organization planning to dominate the world. After being remodeled into a cyborg, Takeshi escapes and swears to protect the world from the inhuman monsters.",1971-04-03,191.2665,6.4,/2DIBDFHiKQawz4WPsYekl9DHwyA.jpg
CSI: Crime Scene Investigation,series,"[80, 18, 9648]","A Las Vegas team of forensic investigators are trained to solve criminal cases by scouring the crime scene, collecting irrefutable evidence and finding the missing pieces that solve the mystery.",2000-10-06,206.0371,7.614,/i5hmoRjHNWady4AtAGICTUXknKH.jpg
Pelotón,series,[10764],"Pelotón is a Chilean reality show on National Television of Chile in which the participants undergo an intense regime of military training. The winner receives 50 million pesos. The first season aired January 2 — May 5, 2007, and the second season ran from October 2, 2007 to March 11, 2008. The third season were premiere in July 2009 and the contestants were Chilean celebrities. The third and 4th season were shooting back to back, and like last season the majority of participants were celebrities.",2007-01-02,187.3325,9.0,/2rTGn2CBavgioMVorVdZHgmdA2n.jpg
Rick and Morty,series,"[16, 35, 10765, 10759]",Follows a sociopathic genius scientist who drags his inherently timid grandson on adventures across the universe.,2013-12-02,174.1525,8.682,/owhkU6KRqdXoUQpjV8uyZGPtX58.jpg
Breaking Bad,series,"[18, 80]","Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",2008-01-20,153.461,8.95,/anFx9aTOOYqgS3v7x3R84Kz67ly.jpg
Storm of Love,series,"[18, 10766]","These are the stories of relationships taking place in the fictional five-star hotel Fürstenhof, located in Feldkirchen-Westerham near Rosenheim with the plot revolving around members of the family room area, the hotel owners, and employees.",2005-09-26,162.0724,6.0,/jfFNydakwvbeACEwSd2Gh8UWtba.jpg
House,series,[18],"Dr. Gregory House, a drug-addicted, unconventional, misanthropic medical genius, leads a team of diagnosticians at the fictional Princeton–Plainsboro Teaching Hospital in New Jersey.",2004-11-16,145.5755,8.565,/3Cz7ySOQJmqiuTdrc6CY0r65yDI.jpg
Game of Thrones,series,"[10765, 18, 10759]","Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.",2011-04-17,161.4879,8.5,/1XS1oqL89opfnbLl8WnZY1O1uJx.jpg
House of the Dragon,series,"[10765, 18, 10759]","The Targaryen dynasty is at the absolute apex of its power, with more than 15 dragons under their yoke. Most empires crumble from such heights. In the case of the Targaryens, their slow fall begins when King Viserys breaks with a century of tradition by naming his daughter Rhaenyra heir to the Iron Throne. But when Viserys later fathers a son, the court is shocked when Rhaenyra retains her status as his heir, and seeds of division sow friction across the realm.",2022-08-21,168.5503,8.385,/7V0Ebks0GgpKvQ7QbLAIdX5dos4.jpg
The Daily Fable,series,[10762],"Fabeltjeskrant [ 'faːbəɫcəskrɑnt] is a Dutch children's television series featuring puppetry and stop motion. Created in 1968 by Leen Valkenier and produced by Thijs Chanowski and Loek de Levita, it ended in 1989 and was broadcast on the Dutch channels NOS, RTL 4 and RTL 8 and on Belgian channel VRT. From 1973 to 1975 it was broadcast also in the United Kingdom, on ITV, with the title The Daily Fable.",1968-09-29,155.5703,8.0,/h2HFhwgU7xcIEpgDuuPHfh5NOVZ.jpg
Outer Banks,series,"[10759, 9648]","On a North Carolina island of haves and have-nots, John B and his tight-knit crew of friends find mystery and adventure while hunting for lost treasure.",2020-04-15,145.6606,8.244,/ovDgO2LPfwdVRfvScAqo9aMiIW.jpg
